City,State,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Austin,Texas,12/1/2012,209,4.70%,9.90%,2001,10.40%,19.10%,1317,-31.90%,-1.40%,5428,-13.00%,-21.50%,49,1,-28,97.20%,-0.10%,0.80%
Austin,Texas,1/1/2013,198,-5.20%,10.00%,1543,-22.90%,30.40%,2236,69.80%,3.10%,5115,-5.80%,-25.40%,49,0,-25,97.20%,0.00%,0.90%
Austin,Texas,2/1/2013,207,4.60%,8.90%,1782,15.50%,27.00%,2724,21.80%,6.00%,5162,0.90%,-25.60%,51,2,-23,97.70%,0.50%,1.00%
Austin,Texas,3/1/2013,217,4.80%,8.70%,2354,32.10%,13.40%,3436,26.10%,1.10%,5432,5.20%,-26.50%,29,-22,-29,98.10%,0.40%,0.80%
Austin,Texas,4/1/2013,225,3.70%,9.80%,2658,12.90%,25.40%,3748,9.10%,10.90%,5673,4.40%,-26.30%,19,-10,-20,98.60%,0.50%,0.90%
Austin,Texas,5/1/2013,228,1.30%,8.60%,3172,19.30%,22.80%,3835,2.30%,9.80%,6038,6.40%,-23.60%,19,0,-17,98.90%,0.30%,1.20%
Austin,Texas,6/1/2013,230,0.90%,7.40%,2934,-7.50%,3.20%,3686,-3.90%,8.50%,6381,5.70%,-21.70%,17,-2,-14,98.80%,0.00%,1.00%
Austin,Texas,7/1/2013,225,-2.30%,7.10%,3326,13.40%,28.60%,3620,-1.80%,23.20%,6485,1.60%,-19.60%,19,2,-15,98.70%,-0.10%,1.00%
Austin,Texas,8/1/2013,220,-2.30%,5.10%,3256,-2.10%,26.00%,3191,-11.90%,17.80%,6478,-0.10%,-15.50%,22,3,-16,98.50%,-0.20%,0.90%
Austin,Texas,9/1/2013,220,0.10%,12.00%,2541,-22.00%,27.60%,2478,-22.30%,17.60%,6238,-3.70%,-14.00%,25,3,-18,98.20%,-0.40%,0.80%
Austin,Texas,10/1/2013,217,-1.40%,8.90%,2324,-8.50%,7.70%,2462,-0.60%,10.20%,5933,-4.90%,-12.40%,29,4,-21,98.10%,-0.10%,0.90%
Austin,Texas,11/1/2013,218,0.50%,9.40%,2031,-12.60%,12.10%,1928,-21.70%,-0.30%,5378,-9.40%,-13.80%,35,6,-13,97.90%,-0.20%,0.50%
Austin,Texas,12/1/2013,226,3.70%,8.30%,2177,7.20%,8.80%,1361,-29.40%,3.30%,4700,-12.60%,-13.40%,36,1,-13,97.90%,0.00%,0.70%
Austin,Texas,1/1/2014,218,-3.50%,10.20%,1530,-29.70%,-0.80%,2286,68.00%,2.20%,4585,-2.40%,-10.40%,42,6,-7,97.80%,-0.10%,0.60%
Austin,Texas,2/1/2014,229,4.90%,10.50%,1879,22.80%,5.40%,2635,15.30%,-3.30%,4701,2.50%,-8.90%,33,-9,-18,98.10%,0.30%,0.40%
Austin,Texas,3/1/2014,234,2.30%,7.80%,2358,25.50%,0.20%,3335,26.60%,-2.90%,4914,4.50%,-9.50%,20,-13,-9,98.50%,0.40%,0.40%
Austin,Texas,4/1/2014,237,1.10%,5.10%,2630,11.50%,-1.10%,3659,9.70%,-2.40%,5121,4.20%,-9.70%,15,-5,-4,99.10%,0.50%,0.50%
Austin,Texas,5/1/2014,245,3.60%,7.50%,3143,19.50%,-0.90%,4160,13.70%,8.50%,5593,9.20%,-7.40%,14,-1,-5,99.20%,0.20%,0.40%
Austin,Texas,6/1/2014,251,2.30%,9.00%,3131,-0.40%,6.70%,3807,-8.50%,3.30%,6188,10.60%,-3.00%,13,-1,-4,99.10%,-0.20%,0.20%
Austin,Texas,7/1/2014,249,-0.70%,10.80%,3086,-1.40%,-7.20%,3883,2.00%,7.30%,7091,14.60%,9.30%,14,1,-5,99.00%,-0.10%,0.20%
Austin,Texas,8/1/2014,245,-1.60%,11.50%,2928,-5.10%,-10.10%,3250,-16.30%,1.80%,7164,1.00%,10.60%,18,4,-4,98.50%,-0.40%,0.00%
Austin,Texas,9/1/2014,238,-2.70%,8.30%,2577,-12.00%,1.40%,2437,-25.00%,-1.70%,6742,-5.90%,8.10%,25,7,0,98.30%,-0.20%,0.20%
Austin,Texas,10/1/2014,240,0.70%,10.60%,2507,-2.70%,7.90%,2690,10.40%,9.30%,6563,-2.70%,10.60%,33,8,4,98.00%,-0.40%,-0.10%
Austin,Texas,11/1/2014,245,2.10%,12.40%,1976,-21.20%,-2.70%,1960,-27.10%,1.70%,6044,-7.90%,12.40%,34,1,-1,98.00%,0.10%,0.20%
Austin,Texas,12/1/2014,247,0.60%,9.10%,2442,23.60%,12.20%,1453,-25.90%,6.80%,5277,-12.70%,12.30%,37,3,1,97.90%,-0.10%,0.00%
Austin,Texas,1/1/2015,240,-2.70%,10.00%,1627,-33.40%,6.30%,2351,61.80%,2.80%,5026,-4.80%,9.60%,44,7,2,97.60%,-0.30%,-0.20%
Austin,Texas,2/1/2015,248,3.60%,8.60%,1934,18.90%,2.90%,2663,13.30%,1.10%,5085,1.20%,8.20%,37,-7,4,98.30%,0.60%,0.20%
Austin,Texas,3/1/2015,258,3.60%,10.00%,2596,34.20%,10.10%,3446,29.40%,3.30%,5315,4.50%,8.20%,22,-15,2,98.60%,0.30%,0.10%
Austin,Texas,4/1/2015,270,4.90%,14.20%,2756,6.20%,4.80%,3919,13.70%,7.10%,5881,10.60%,14.80%,15,-7,0,98.90%,0.30%,-0.10%
Austin,Texas,5/1/2015,270,0.00%,10.20%,2943,6.80%,-6.40%,3883,-0.90%,-6.70%,6370,8.30%,13.90%,14,-1,0,99.10%,0.20%,-0.20%
Austin,Texas,6/1/2015,272,0.80%,8.50%,3254,10.60%,3.90%,3881,-0.10%,1.90%,6701,5.20%,8.30%,15,1,2,99.20%,0.10%,0.10%
Austin,Texas,7/1/2015,265,-2.60%,6.40%,3359,3.20%,8.80%,4172,7.50%,7.40%,7249,8.20%,2.20%,17,2,3,99.00%,-0.20%,0.00%
Austin,Texas,8/1/2015,263,-0.90%,7.10%,3122,-7.10%,6.60%,3285,-21.30%,1.10%,7133,-1.60%,-0.40%,20,3,2,98.70%,-0.20%,0.20%
Austin,Texas,9/1/2015,255,-2.90%,7.00%,2809,-10.00%,9.00%,2782,-15.30%,14.20%,6833,-4.20%,1.30%,25,5,0,98.40%,-0.30%,0.10%
Austin,Texas,10/1/2015,255,0.00%,6.30%,2514,-10.50%,0.30%,2783,0.00%,3.50%,6582,-3.70%,0.30%,31,6,-2,98.10%,-0.30%,0.20%
Austin,Texas,11/1/2015,270,5.80%,10.20%,1939,-22.90%,-1.90%,2054,-26.20%,4.80%,5934,-9.80%,-1.80%,33,2,-1,97.80%,-0.30%,-0.20%
Austin,Texas,12/1/2015,272,0.70%,10.30%,2557,31.90%,4.70%,1577,-23.20%,8.50%,5280,-11.00%,0.10%,36,3,-1,98.00%,0.20%,0.10%
Austin,Texas,1/1/2016,256,-6.00%,6.60%,1613,-36.90%,-0.90%,2565,62.70%,9.10%,5266,-0.30%,4.80%,34,-2,-10,98.10%,0.10%,0.50%
Austin,Texas,2/1/2016,268,4.90%,7.90%,2014,24.90%,4.10%,3008,17.30%,13.00%,5478,4.00%,7.70%,36,2,-1,98.30%,0.20%,0.10%
Austin,Texas,3/1/2016,275,2.70%,6.90%,2796,38.80%,7.70%,3873,28.80%,12.40%,6058,10.60%,14.00%,21,-15,-1,98.70%,0.40%,0.10%
Austin,Texas,4/1/2016,287,4.30%,6.30%,2819,0.80%,2.30%,3991,3.00%,1.80%,6510,7.50%,10.70%,16,-5,1,99.10%,0.40%,0.20%
Austin,Texas,5/1/2016,285,-0.70%,5.60%,3271,16.00%,11.10%,4012,0.50%,3.30%,6678,2.60%,4.80%,16,0,2,99.00%,-0.10%,-0.10%
Austin,Texas,6/1/2016,294,3.20%,8.20%,3588,9.70%,10.30%,4197,4.60%,8.10%,7351,10.10%,9.70%,18,2,3,98.90%,-0.10%,-0.30%
Austin,Texas,7/1/2016,285,-3.10%,7.50%,3101,-13.60%,-7.70%,3913,-6.80%,-6.20%,7786,5.90%,7.40%,18,0,1,98.90%,0.00%,-0.10%
Austin,Texas,8/1/2016,285,0.00%,8.60%,3224,4.00%,3.30%,3200,-18.20%,-2.60%,7665,-1.60%,7.50%,21,3,1,98.50%,-0.40%,-0.20%
Austin,Texas,9/1/2016,275,-3.50%,7.90%,2759,-14.40%,-1.80%,3044,-4.90%,9.40%,7689,0.30%,12.50%,27,6,2,98.20%,-0.20%,-0.20%
Austin,Texas,10/1/2016,280,1.70%,9.70%,2428,-12.00%,-3.40%,2663,-12.50%,-4.30%,7240,-5.80%,10.00%,34,7,3,98.10%,-0.20%,0.00%
Austin,Texas,11/1/2016,290,3.70%,7.40%,2321,-4.40%,19.70%,2159,-18.90%,5.10%,6530,-9.80%,10.00%,35,1,2,98.10%,0.00%,0.20%
Austin,Texas,12/1/2016,290,-0.10%,6.60%,2644,13.90%,3.40%,1697,-21.40%,7.60%,5871,-10.10%,11.20%,39,4,3,97.90%,-0.20%,-0.10%
Austin,Texas,1/1/2017,280,-3.50%,9.40%,1703,-35.60%,5.60%,2652,56.30%,3.40%,5717,-2.60%,8.60%,43,4,9,98.00%,0.10%,-0.10%
Austin,Texas,2/1/2017,289,3.40%,7.80%,2093,22.90%,3.90%,3088,16.40%,2.70%,6045,5.70%,10.40%,42,-1,6,98.20%,0.20%,-0.10%
Austin,Texas,3/1/2017,295,2.10%,7.20%,2778,32.70%,-0.60%,4334,40.30%,11.90%,6862,13.50%,13.30%,23,-19,2,98.50%,0.30%,-0.20%
Austin,Texas,4/1/2017,301,2.00%,4.90%,2811,1.20%,-0.30%,4211,-2.80%,5.50%,7483,9.00%,14.90%,17,-6,1,98.90%,0.40%,-0.20%
Austin,Texas,5/1/2017,305,1.40%,7.10%,3450,22.70%,5.50%,4562,8.30%,13.70%,7993,6.80%,19.70%,19,2,3,98.70%,-0.10%,-0.30%
Austin,Texas,6/1/2017,308,0.80%,4.60%,3782,9.60%,5.40%,4482,-1.80%,6.80%,8642,8.10%,17.60%,22,3,4,98.70%,0.00%,-0.20%
Austin,Texas,7/1/2017,298,-3.20%,4.50%,3250,-14.10%,4.80%,3923,-12.50%,0.30%,8927,3.30%,14.70%,22,0,4,98.50%,-0.20%,-0.40%
Austin,Texas,8/1/2017,295,-1.00%,3.50%,3271,0.60%,1.50%,3338,-14.90%,4.30%,8792,-1.50%,14.70%,29,7,8,98.30%,-0.20%,-0.20%
Austin,Texas,9/1/2017,289,-2.00%,5.10%,2683,-18.00%,-2.80%,2827,-15.30%,-7.10%,8399,-4.50%,9.20%,35,6,8,98.10%,-0.20%,-0.10%
Austin,Texas,10/1/2017,290,0.20%,3.50%,2496,-7.00%,2.80%,2836,0.30%,6.50%,7881,-6.20%,8.90%,41,6,7,98.10%,0.00%,0.00%
Austin,Texas,11/1/2017,291,0.50%,0.40%,2431,-2.60%,4.70%,2406,-15.20%,11.40%,7165,-9.10%,9.70%,46,5,11,98.10%,0.00%,0.00%
Austin,Texas,12/1/2017,305,4.80%,5.30%,2961,21.80%,12.00%,1765,-26.60%,4.00%,6279,-12.40%,6.90%,53,7,14,97.90%,-0.20%,0.00%
Austin,Texas,1/1/2018,291,-4.60%,4.10%,1845,-37.70%,8.30%,2523,42.90%,-4.90%,5921,-5.70%,3.60%,48,-5,5,97.90%,0.00%,-0.20%
Austin,Texas,2/1/2018,295,1.40%,2.10%,2239,21.40%,7.00%,3149,24.80%,2.00%,6172,4.20%,2.10%,52,4,10,98.20%,0.30%,-0.10%
Austin,Texas,3/1/2018,300,1.70%,1.70%,3032,35.40%,9.10%,4235,34.50%,-2.30%,6850,11.00%,-0.20%,31,-21,8,98.50%,0.30%,0.00%
Austin,Texas,4/1/2018,315,5.00%,4.70%,2996,-1.20%,6.60%,4432,4.70%,5.20%,7419,8.30%,-0.90%,21,-10,4,98.80%,0.30%,-0.10%
Austin,Texas,5/1/2018,318,1.00%,4.20%,3658,22.10%,6.00%,4686,5.70%,2.70%,8135,9.70%,1.80%,20,-1,1,98.80%,0.00%,0.10%
Austin,Texas,6/1/2018,321,0.90%,4.30%,3721,1.70%,-1.60%,4328,-7.60%,-3.40%,8646,6.30%,0.00%,22,2,0,98.80%,0.00%,0.10%
Austin,Texas,7/1/2018,315,-1.90%,5.70%,3473,-6.70%,6.90%,3855,-10.90%,-1.70%,8760,1.30%,-1.90%,26,4,4,98.60%,-0.20%,0.10%
Austin,Texas,8/1/2018,317,0.60%,7.40%,3357,-3.30%,2.60%,3850,-0.10%,15.30%,8959,2.30%,1.90%,32,6,3,98.30%,-0.30%,0.00%
Austin,Texas,9/1/2018,300,-5.30%,3.80%,2607,-22.30%,-2.80%,2856,-25.80%,1.00%,8809,-1.70%,4.90%,35,3,0,98.10%,-0.20%,0.00%
Austin,Texas,10/1/2018,305,1.70%,5.30%,2604,-0.10%,4.30%,2888,1.10%,1.80%,8473,-3.80%,7.50%,43,8,2,98.10%,-0.10%,0.00%
Austin,Texas,11/1/2018,300,-1.60%,3.10%,2478,-4.80%,1.90%,2388,-17.30%,-0.70%,7864,-7.20%,9.80%,48,5,2,98.00%,0.00%,0.00%
Austin,Texas,12/1/2018,304,1.30%,-0.30%,2675,7.90%,-9.70%,1728,-27.60%,-2.10%,6806,-13.50%,8.40%,51,3,-2,97.90%,-0.20%,0.00%
Austin,Texas,1/1/2019,295,-2.90%,1.40%,1816,-32.10%,-1.60%,2882,66.80%,14.20%,6710,-1.40%,13.30%,56,5,8,97.80%,-0.10%,-0.10%
Austin,Texas,2/1/2019,294,-0.30%,-0.30%,2371,30.60%,5.90%,3099,7.50%,-1.60%,6717,0.10%,8.80%,55,-1,3,98.30%,0.50%,0.10%
Austin,Texas,3/1/2019,305,3.60%,1.60%,2982,25.80%,-1.60%,4135,33.40%,-2.40%,7079,5.40%,3.30%,34,-21,3,98.50%,0.30%,0.10%
Austin,Texas,4/1/2019,319,4.70%,1.30%,3345,12.20%,11.60%,4320,4.50%,-2.50%,7325,3.50%,-1.30%,21,-13,0,98.90%,0.30%,0.10%
Austin,Texas,5/1/2019,329,3.10%,3.50%,3895,16.40%,6.50%,4765,10.30%,1.70%,7988,9.10%,-1.80%,21,0,1,99.10%,0.20%,0.20%
Austin,Texas,6/1/2019,329,0.00%,2.50%,3669,-5.80%,-1.40%,4272,-10.30%,-1.30%,8357,4.60%,-3.30%,24,3,2,98.90%,-0.20%,0.10%
Austin,Texas,7/1/2019,320,-2.80%,1.60%,3739,1.90%,7.70%,3970,-7.10%,3.00%,8330,-0.30%,-4.90%,25,1,-1,98.80%,0.00%,0.20%
Austin,Texas,8/1/2019,320,0.00%,1.00%,3573,-4.40%,6.40%,3584,-9.70%,-6.90%,8109,-2.70%,-9.50%,29,4,-3,98.80%,0.00%,0.50%
Austin,Texas,9/1/2019,320,0.00%,6.70%,2987,-16.40%,14.60%,3181,-11.20%,11.40%,7824,-3.50%,-11.20%,33,4,-2,98.60%,-0.20%,0.40%
Austin,Texas,10/1/2019,325,1.60%,6.60%,2926,-2.00%,12.40%,3181,0.00%,10.10%,7470,-4.50%,-11.80%,36,3,-7,98.50%,0.00%,0.50%
Austin,Texas,11/1/2019,310,-4.60%,3.30%,2750,-6.00%,11.00%,2407,-24.30%,0.80%,6730,-9.90%,-14.40%,40,4,-8,98.50%,0.00%,0.50%
Austin,Texas,12/1/2019,321,3.60%,5.60%,3125,13.60%,16.80%,1787,-25.80%,3.40%,5836,-13.30%,-14.30%,43,3,-8,98.30%,-0.20%,0.40%
Austin,Texas,1/1/2020,309,-3.70%,4.70%,2029,-35.10%,11.70%,3002,68.00%,4.20%,5681,-2.70%,-15.30%,47,4,-9,98.30%,0.00%,0.50%
Austin,Texas,2/1/2020,325,5.20%,10.50%,2596,27.90%,9.50%,3278,9.20%,5.80%,5683,0.00%,-15.40%,42,-5,-13,98.90%,0.60%,0.70%
Austin,Texas,3/1/2020,333,2.30%,9.10%,3199,23.20%,7.30%,4144,26.40%,0.20%,6393,12.50%,-9.70%,24,-18,-10,99.30%,0.40%,0.80%
Austin,Texas,4/1/2020,326,-2.10%,2.10%,2592,-19.00%,-22.50%,3370,-18.70%,-22.00%,6885,7.70%,-6.00%,16,-8,-5,99.50%,0.10%,0.60%
Austin,Texas,5/1/2020,330,1.30%,0.30%,2657,2.50%,-31.80%,3965,17.70%,-16.80%,6529,-5.20%,-18.30%,23,7,2,99.00%,-0.50%,-0.10%
Austin,Texas,6/1/2020,340,2.90%,3.20%,4007,50.80%,9.20%,4048,2.10%,-5.20%,5765,-11.70%,-31.00%,23,0,-1,99.20%,0.30%,0.40%
Austin,Texas,7/1/2020,352,3.70%,10.00%,4494,12.20%,20.20%,4596,13.50%,15.80%,5806,0.70%,-30.30%,18,-5,-7,99.40%,0.20%,0.60%
Austin,Texas,8/1/2020,350,-0.60%,9.40%,4017,-10.60%,12.40%,3730,-18.80%,4.10%,6027,3.80%,-25.70%,17,-1,-12,99.60%,0.20%,0.80%
Austin,Texas,9/1/2020,355,1.40%,10.90%,3877,-3.50%,29.80%,3368,-9.70%,5.90%,6212,3.10%,-20.60%,33,16,0,99.70%,0.10%,1.10%
Austin,Texas,10/1/2020,368,3.50%,13.10%,3692,-4.80%,26.20%,3603,7.00%,13.30%,5604,-9.80%,-25.00%,40,7,4,100.10%,0.40%,1.60%
Austin,Texas,11/1/2020,365,-0.70%,17.70%,3390,-8.20%,23.30%,2659,-26.20%,10.50%,4724,-15.70%,-29.80%,36,-4,-4,100.30%,0.20%,1.80%
Austin,Texas,12/1/2020,369,1.10%,15.00%,3708,9.40%,18.70%,2340,-12.00%,30.90%,3462,-26.70%,-40.70%,36,0,-7,100.40%,0.20%,2.20%
Austin,Texas,1/1/2021,370,0.30%,19.70%,2410,-35.00%,18.80%,2796,19.50%,-6.90%,3097,-10.50%,-45.50%,36,0,-11,101.80%,1.40%,3.60%
Austin,Texas,2/1/2021,397,7.40%,22.20%,2303,-4.40%,-11.30%,2505,-10.40%,-23.60%,3049,-1.50%,-46.30%,31,-5,-11,104.90%,3.10%,6.00%
Austin,Texas,3/1/2021,427,7.50%,28.40%,3468,50.60%,8.40%,4128,64.80%,-0.40%,3541,16.10%,-44.60%,29,-2,5,107.40%,2.40%,8.10%
Austin,Texas,4/1/2021,467,9.30%,43.30%,3578,3.20%,38.00%,4598,11.40%,36.40%,4355,23.00%,-36.70%,25,-4,9,109.50%,2.10%,10.00%
Austin,Texas,5/1/2021,465,-0.30%,40.90%,3881,8.50%,46.10%,4338,-5.70%,9.40%,4558,4.70%,-30.20%,26,1,3,108.80%,-0.70%,9.80%
Austin,Texas,6/1/2021,481,3.40%,41.70%,4302,10.80%,7.40%,5023,15.80%,24.10%,5102,11.90%,-11.50%,26,0,3,108.10%,-0.70%,8.80%
Austin,Texas,7/1/2021,484,0.50%,37.40%,3968,-7.80%,-11.70%,5071,1.00%,10.30%,5966,16.90%,2.80%,27,1,9,106.60%,-1.50%,7.10%
Austin,Texas,8/1/2021,474,-1.90%,35.50%,3781,-4.70%,-5.90%,4313,-14.90%,15.60%,6037,1.20%,0.20%,30,3,13,104.00%,-2.60%,4.40%
Austin,Texas,9/1/2021,450,-5.10%,26.80%,3652,-3.40%,-5.80%,3986,-7.60%,18.30%,6106,1.10%,-1.70%,32,2,-1,102.20%,-1.80%,2.50%
Austin,Texas,10/1/2021,458,1.80%,24.60%,3176,-13.00%,-14.00%,3707,-7.00%,2.90%,6044,-1.00%,7.90%,34,2,-6,101.70%,-0.40%,1.60%
Austin,Texas,11/1/2021,471,2.80%,29.00%,3218,1.30%,-5.10%,2899,-21.80%,9.00%,5152,-14.80%,9.10%,35,1,-1,101.30%,-0.50%,1.00%
Austin,Texas,12/1/2021,475,0.90%,28.70%,3604,12.00%,-2.80%,2080,-28.30%,-11.10%,3778,-26.70%,9.10%,35,0,-1,101.50%,0.20%,1.00%
Austin,Texas,1/1/2022,483,1.70%,30.50%,2277,-36.80%,-5.50%,2528,21.50%,-9.60%,3337,-11.70%,7.70%,35,0,-1,101.60%,0.10%,-0.20%
Austin,Texas,2/1/2022,500,3.50%,25.80%,2551,12.00%,10.80%,2775,9.80%,10.80%,3322,-0.40%,9.00%,32,-3,1,103.70%,2.10%,-1.30%
Austin,Texas,3/1/2022,521,4.20%,22.00%,3290,29.00%,-5.10%,4103,47.90%,-0.60%,4102,23.50%,15.80%,25,-7,-4,105.40%,1.70%,-2.00%
Austin,Texas,4/1/2022,555,6.50%,18.90%,3226,-1.90%,-9.80%,4492,9.50%,-2.30%,5294,29.10%,21.60%,25,0,0,106.20%,0.80%,-3.30%
Austin,Texas,5/1/2022,550,-0.90%,18.30%,3574,10.80%,-7.90%,5089,13.30%,17.30%,6830,29.00%,49.80%,25,0,-1,105.10%,-1.10%,-3.70%
Austin,Texas,6/1/2022,535,-2.80%,11.20%,3460,-3.20%,-19.60%,5834,14.60%,16.10%,9259,35.60%,81.50%,28,3,2,102.50%,-2.50%,-5.50%
Austin,Texas,7/1/2022,520,-2.80%,7.50%,2785,-19.50%,-29.80%,4818,-17.40%,-5.00%,10758,16.20%,80.30%,34,6,7,100.20%,-2.40%,-6.40%
Austin,Texas,8/1/2022,500,-3.80%,5.50%,2872,3.10%,-24.00%,3672,-23.80%,-14.90%,10739,-0.20%,77.90%,40,6,10,98.90%,-1.30%,-5.10%
Austin,Texas,9/1/2022,475,-5.00%,5.60%,2880,0.30%,-21.10%,3528,-3.90%,-11.50%,10827,0.80%,77.30%,47,7,15,98.30%,-0.60%,-3.90%
Austin,Texas,10/1/2022,475,0.00%,3.70%,2235,-22.40%,-29.60%,2739,-22.40%,-26.10%,10291,-5.00%,70.30%,53,6,19,97.30%,-1.00%,-4.40%
Austin,Texas,11/1/2022,470,-1.10%,-0.20%,1986,-11.10%,-38.30%,2015,-26.40%,-30.50%,9132,-11.30%,77.30%,61,8,26,96.50%,-0.90%,-4.80%
Austin,Texas,12/1/2022,458,-2.50%,-3.60%,2382,19.90%,-33.90%,1435,-28.80%,-31.00%,7376,-19.20%,95.20%,70,9,35,96.10%,-0.40%,-5.30%
Dallas,Texas,2/1/2012,160,4.70%,1.30%,2998,20.80%,22.80%,5533,12.60%,15.70%,17066,4.20%,-22.90%,83,-2,-15,96.40%,0.20%,0.20%
Dallas,Texas,3/1/2012,168,4.70%,8.80%,3979,32.70%,12.60%,6607,19.40%,-5.30%,17862,4.70%,-22.80%,63,-20,-24,96.60%,0.30%,0.60%
Dallas,Texas,4/1/2012,169,0.90%,5.80%,4202,5.60%,13.70%,6303,-4.60%,-4.90%,18194,1.90%,-23.60%,49,-14,-23,97.00%,0.40%,0.90%
Dallas,Texas,5/1/2012,178,5.30%,7.80%,4919,17.10%,23.10%,6437,2.10%,8.50%,18225,0.20%,-22.90%,49,0,-21,97.10%,0.10%,0.80%
Dallas,Texas,6/1/2012,180,1.20%,8.40%,5089,3.50%,13.80%,6227,-3.30%,0.10%,18412,1.00%,-22.00%,49,0,-21,97.40%,0.30%,1.10%
Dallas,Texas,7/1/2012,178,-1.40%,6.90%,4783,-6.00%,21.40%,5894,-5.30%,10.50%,17931,-2.60%,-21.50%,53,4,-19,97.30%,-0.10%,1.10%
Dallas,Texas,8/1/2012,175,-1.40%,6.30%,5129,7.20%,17.70%,5535,-6.10%,10.30%,17098,-4.60%,-19.70%,50,-3,-27,97.10%,-0.20%,0.80%
Dallas,Texas,9/1/2012,174,-0.40%,10.30%,4018,-21.70%,15.20%,4442,-19.70%,-1.40%,16361,-4.30%,-19.10%,55,5,-23,97.20%,0.10%,1.10%
Dallas,Texas,10/1/2012,168,-3.90%,8.10%,4108,2.20%,29.10%,4691,5.60%,6.70%,15361,-6.10%,-20.30%,55,0,-24,97.10%,-0.10%,1.20%
Dallas,Texas,11/1/2012,171,2.10%,14.00%,3793,-7.70%,22.70%,4076,-13.10%,8.50%,14351,-6.60%,-20.90%,56,1,-23,96.70%,-0.50%,0.50%
Dallas,Texas,12/1/2012,180,5.20%,11.70%,3747,-1.20%,12.50%,2978,-26.90%,2.90%,12680,-11.60%,-20.80%,56,0,-25,96.70%,0.00%,0.60%
Dallas,Texas,1/1/2013,165,-8.40%,8.00%,3126,-16.60%,25.90%,5068,70.20%,3.20%,13086,3.20%,-20.10%,59,3,-26,96.90%,0.30%,0.80%
Dallas,Texas,2/1/2013,170,2.90%,6.00%,3482,11.40%,16.10%,5498,8.50%,-0.60%,13385,2.30%,-21.60%,55,-4,-28,96.90%,-0.10%,0.50%
Dallas,Texas,3/1/2013,185,8.80%,10.10%,4944,42.00%,24.30%,6640,20.80%,0.50%,13729,2.60%,-23.10%,39,-16,-24,97.40%,0.50%,0.80%
Dallas,Texas,4/1/2013,195,5.40%,15.10%,5448,10.20%,29.70%,7306,10.00%,15.90%,14253,3.80%,-21.70%,35,-4,-14,97.90%,0.50%,0.90%
Dallas,Texas,5/1/2013,200,2.80%,12.40%,6059,11.20%,23.20%,7222,-1.10%,12.20%,14475,1.60%,-20.60%,34,-1,-15,98.00%,0.10%,0.80%
Dallas,Texas,6/1/2013,205,2.50%,13.90%,5886,-2.90%,15.70%,7037,-2.60%,13.00%,14906,3.00%,-19.00%,33,-1,-16,98.10%,0.10%,0.60%
Dallas,Texas,7/1/2013,202,-1.50%,13.80%,6170,4.80%,29.00%,7257,3.10%,23.10%,15105,1.30%,-15.80%,33,0,-20,98.30%,0.20%,1.00%
